Extension,-14.45 , 10.02 , -0.15 , -1.80 , 5.06 , 0.00
Extension,-14.81 , 9.90 , 0.29 , -1.57 , 4.90 , 0.00
Extension,-15.01 , 9.86 , 0.08 , -1.24 , 4.84 , 0.00
Extension,6.33 , 9.20 , 19.10 , 0.63 , 3.05 , 0.00
Extension,27.31 , 7.51 , -0.57 , 1.61 , 2.62 , 0.00
Extension,9.04 , 8.49 , -23.89 , -1.99 , -1.70 , 0.00
Extension,0.85 , 8.72 , -3.38 , -1.38 , 1.58 , 0.00
Extension,-3.12 , 9.52 , 1.35 , -1.13 , 1.48 , 0.00
Extension,-5.75 , 9.67 , 1.14 , -0.83 , 2.33 , 0.00
Extension,-7.37 , 10.09 , 0.58 , -0.85 , 2.10 , 0.00
Extension,----------
Extension,-8.78 , 10.15 , 0.56 , -0.64 , 2.17 , 0.00
Extension,-9.55 , 10.62 , 0.33 , -0.88 , 1.76 , 0.00
Extension,-10.25 , 10.81 , 0.27 , -0.82 , 1.90 , 0.00
Extension,-10.53 , 10.92 , 0.19 , -1.01 , 2.07 , 0.00
Extension,-10.88 , 10.97 , -0.61 , -0.98 , 2.14 , 0.00
Extension,-11.05 , 11.34 , -0.12 , -0.96 , 1.82 , 0.00
Extension,-11.16 , 11.92 , 0.44 , -0.90 , 1.35 , 0.00
Extension,-11.50 , 11.87 , 0.15 , -0.70 , 1.75 , 0.00
Extension,-11.61 , 11.63 , 0.38 , -0.64 , 1.85 , 0.00
Extension,-11.71 , 12.00 , 0.80 , -0.46 , 1.79 , 0.00
Extension,7.16 , 12.91 , 24.00 , 0.38 , -1.25 , 0.00
Extension,22.72 , 11.91 , 3.21 , -0.31 , -4.14 , 0.00
Extension,26.04 , 4.92 , -11.04 , -0.36 , -2.52 , 0.00
Extension,7.04 , 8.29 , -14.61 , -2.69 , -0.41 , 0.00
Extension,0.79 , 8.89 , 0.60 , -1.99 , 0.51 , 0.00
Extension,-2.14 , 9.55 , 0.01 , -1.79 , 0.51 , 0.00
Extension,-4.67 , 9.89 , 0.89 , -1.46 , 1.00 , 0.00
Extension,----------
Extension,-6.28 , 10.30 , 0.29 , -1.22 , 1.28 , 0.00
Extension,-7.73 , 10.03 , 0.73 , -1.03 , 1.91 , 0.00
Extension,-8.42 , 10.75 , -0.11 , -0.85 , 1.96 , 0.00
Extension,-9.28 , 10.63 , 0.60 , -0.75 , 1.81 , 0.00
Extension,-9.74 , 10.04 , -0.87 , -0.63 , 2.86 , 0.00
Extension,-10.07 , 10.64 , 0.59 , -0.57 , 2.31 , 0.00
Extension,-10.29 , 10.83 , 0.02 , -0.56 , 1.94 , 0.00
Extension,-10.53 , 10.91 , 0.79 , -0.47 , 2.13 , 0.00
Extension,-10.69 , 10.76 , 0.78 , -0.31 , 2.33 , 0.00
Extension,-12.81 , 11.70 , -0.31 , -0.68 , 2.19 , 0.00
Extension,-0.76 , 12.30 , 29.56 , 0.39 , 0.36 , 0.00
Extension,18.36 , 9.69 , 5.21 , -0.12 , -0.97 , 0.00
Extension,30.97 , 6.61 , 1.35 , 0.36 , -0.83 , 0.00
Extension,30.97 , 7.94 , -6.47 , -0.16 , -1.08 , 0.00
Extension,18.92 , 3.66 , -4.47 , -0.62 , -3.39 , 0.00
Extension,10.61 , 4.12 , 1.87 , -0.75 , -2.49 , 0.00
Extension,5.48 , 5.24 , 1.78 , -0.86 , -1.05 , 0.00
Extension,----------
Extension,2.25 , 6.00 , 0.50 , -0.96 , -0.18 , 0.00
Extension,-0.13 , 7.16 , 0.56 , -1.07 , 0.02 , 0.00
Extension,-1.85 , 7.71 , -0.19 , -1.05 , -0.08 , 0.00
Extension,-2.82 , 7.83 , -0.06 , -1.01 , 0.37 , 0.00
Extension,-3.48 , 8.87 , 0.49 , -0.97 , 0.23 , 0.00
Extension,-4.30 , 8.96 , 0.96 , -0.87 , 0.58 , 0.00
Extension,-4.66 , 8.99 , 0.32 , -0.61 , 0.91 , 0.00
Extension,-5.06 , 9.11 , 0.16 , -0.50 , 0.98 , 0.00
Extension,-5.42 , 9.23 , -0.24 , -0.57 , 0.92 , 0.00
Extension,-4.95 , 9.32 , 6.36 , -0.68 , 0.32 , 0.00
Extension,10.96 , 7.81 , 8.03 , 0.01 , -0.32 , 0.00
Extension,25.85 , 6.91 , -1.93 , 0.28 , -1.93 , 0.00
Extension,40.38 , 4.32 , 1.92 , 1.79 , -1.04 , 0.00
Extension,25.19 , 10.26 , -6.21 , 1.39 , 2.15 , 0.00
Extension,14.47 , 11.76 , -0.55 , 0.97 , 1.54 , 0.00
Extension,10.11 , 12.63 , 2.39 , 0.86 , 1.25 , 0.00
Extension,8.42 , 13.40 , 1.19 , 0.77 , 0.82 , 0.00
Extension,----------
Extension,6.28 , 13.60 , 0.33 , 0.63 , 0.79 , 0.00
Extension,4.42 , 14.00 , 0.28 , 0.81 , 0.34 , 0.00
Extension,2.79 , 14.94 , 0.39 , 0.85 , -0.13 , 0.00
Extension,1.99 , 15.22 , 0.02 , 0.84 , -0.45 , 0.00
Extension,1.16 , 15.24 , 0.39 , 0.79 , -0.27 , 0.00
Extension,-0.04 , 15.35 , 0.82 , 0.80 , -0.14 , 0.00
Extension,-0.55 , 15.26 , 0.35 , 0.77 , 0.01 , 0.00
Extension,-0.68 , 15.45 , -0.12 , 0.66 , -0.28 , 0.00
Extension,-0.81 , 16.14 , 0.58 , 0.77 , -1.14 , 0.00
Extension,-1.00 , 16.12 , 0.43 , 0.82 , -0.99 , 0.00
Extension,-1.17 , 16.19 , 0.92 , 0.88 , -1.13 , 0.00
Extension,-2.68 , 15.71 , 1.04 , 0.49 , -1.75 , 0.00
Extension,23.80 , 9.60 , 0.14 , 1.75 , -1.43 , 0.00
Extension,40.14 , 5.44 , -7.60 , 2.20 , 0.41 , 0.00
Extension,25.90 , 9.05 , 4.45 , 0.66 , 1.15 , 0.00
Extension,18.10 , 10.23 , -1.66 , 0.19 , 1.06 , 0.00
Extension,12.23 , 11.55 , -2.04 , -0.12 , 0.38 , 0.00
Extension,----------
Extension,7.79 , 12.30 , -0.79 , -0.01 , -0.07 , 0.00
Extension,4.66 , 13.83 , 0.79 , 0.00 , -0.68 , 0.00
Extension,2.50 , 14.39 , 0.37 , 0.02 , -1.12 , 0.00
Extension,1.63 , 14.89 , 0.72 , -0.05 , -1.12 , 0.00
Extension,0.49 , 15.12 , 0.71 , 0.02 , -0.62 , 0.00
Extension,-0.05 , 15.31 , 0.45 , -0.02 , -0.51 , 0.00
Extension,-0.99 , 15.62 , 0.41 , -0.05 , -0.54 , 0.00
Extension,-2.06 , 15.89 , -0.56 , 0.04 , -0.74 , 0.00
Extension,-2.51 , 16.10 , 0.42 , 0.19 , -1.16 , 0.00
Extension,0.65 , 16.62 , 8.97 , 0.53 , -1.55 , 0.00
Extension,2.34 , 16.65 , -0.85 , 0.42 , -1.90 , 0.00
Extension,3.16 , 16.35 , -0.26 , 0.14 , -2.46 , 0.00
Extension,11.93 , 12.11 , 14.60 , -0.13 , -2.09 , 0.00
Extension,22.69 , 12.97 , 1.63 , -0.65 , -3.62 , 0.00
Extension,26.12 , 14.44 , -22.69 , -0.87 , -4.64 , 0.00
Extension,15.62 , 15.37 , -5.88 , -0.68 , -3.78 , 0.00
Extension,8.98 , 16.43 , 0.99 , -0.12 , -3.66 , 0.00
----------
Flexion,
Flexion,-0.66 , 4.38 , 0.01 , -0.37 , 0.24 , 0.00
Flexion,-1.13 , 7.20 , 0.40 , -0.50 , 0.55 , 0.00
Flexion,-1.46 , 9.22 , 0.65 , -0.52 , 0.90 , 0.00
Flexion,-1.69 , 11.05 , 0.28 , -0.73 , 0.54 , 0.00
Flexion,-1.85 , 12.13 , 0.69 , -0.59 , 0.71 , 0.00
Flexion,-22.33 , 13.09 , -23.78 , -2.54 , 4.05 , 0.00
Flexion,-34.19 , 10.59 , 2.66 , -2.80 , 4.37 , 0.00
Flexion,-36.61 , 9.15 , 13.95 , -3.04 , 6.75 , 0.00
Flexion,-26.29 , 8.31 , 14.76 , -2.94 , 6.41 , 0.00
Flexion,-11.15 , 7.52 , 1.94 , -2.69 , 4.71 , 0.00
Flexion,-2.19 , 6.85 , -3.12 , -2.77 , 3.73 , 0.00
Flexion,3.36 , 8.52 , -0.48 , -2.49 , 3.46 , 0.00
Flexion,2.94 , 9.12 , -0.46 , -2.07 , 3.30 , 0.00
Flexion,----------
Flexion,3.76 , 9.17 , -2.33 , -1.85 , 2.40 , 0.00
Flexion,3.89 , 10.49 , 1.53 , -1.98 , 1.60 , 0.00
Flexion,5.61 , 11.27 , 4.08 , -1.65 , 0.54 , 0.00
Flexion,4.36 , 11.73 , -0.73 , -2.40 , 0.07 , 0.00
Flexion,3.97 , 12.01 , 0.85 , -2.38 , 0.58 , 0.00
Flexion,4.01 , 12.54 , 0.77 , -2.56 , 0.69 , 0.00
Flexion,3.58 , 12.72 , 0.35 , -2.53 , 0.91 , 0.00
Flexion,3.53 , 12.88 , 0.81 , -2.58 , 0.90 , 0.00
Flexion,3.86 , 12.81 , -0.24 , -2.72 , 1.14 , 0.00
Flexion,0.74 , 13.21 , -3.79 , -2.72 , 1.22 , 0.00
Flexion,-15.43 , 13.36 , -11.02 , -3.71 , 1.49 , 0.00
Flexion,-29.25 , 12.22 , -1.87 , -3.41 , 1.78 , 0.00
Flexion,-29.03 , 13.03 , 16.68 , -3.17 , 2.62 , 0.00
Flexion,-16.74 , 14.42 , 14.79 , -2.82 , 1.39 , 0.00
Flexion,-8.75 , 13.39 , -1.04 , -3.13 , 1.76 , 0.00
Flexion,-1.64 , 12.25 , -1.33 , -3.09 , 1.12 , 0.00
Flexion,3.03 , 12.15 , 0.28 , -3.06 , 1.07 , 0.00
Flexion,----------
Flexion,4.97 , 11.71 , -0.44 , -2.51 , 1.31 , 0.00
Flexion,6.60 , 11.46 , -0.81 , -2.36 , 1.23 , 0.00
Flexion,7.60 , 11.34 , 0.58 , -2.20 , 1.65 , 0.00
Flexion,8.13 , 11.24 , 0.05 , -2.27 , 1.35 , 0.00
Flexion,9.08 , 11.31 , 0.34 , -2.67 , 1.44 , 0.00
Flexion,9.50 , 11.51 , -0.29 , -2.56 , 1.07 , 0.00
Flexion,10.03 , 11.41 , 0.25 , -2.71 , 1.23 , 0.00
Flexion,10.17 , 11.81 , 0.27 , -2.77 , 1.06 , 0.00
Flexion,10.41 , 11.46 , -0.31 , -2.92 , 0.72 , 0.00
Flexion,3.09 , 11.15 , -15.59 , -3.00 , 2.43 , 0.00
Flexion,-13.69 , 11.81 , -3.21 , -3.20 , 2.47 , 0.00
Flexion,-25.11 , 11.45 , -1.16 , -3.56 , 0.34 , 0.00
Flexion,-22.75 , 12.86 , 14.04 , -3.49 , 0.17 , 0.00
Flexion,-11.99 , 13.39 , 10.21 , -3.28 , -0.04 , 0.00
Flexion,-4.36 , 13.35 , 0.68 , -3.24 , -0.51 , 0.00
Flexion,0.42 , 13.04 , 0.16 , -2.95 , 0.21 , 0.00
Flexion,4.40 , 12.34 , 0.62 , -2.85 , -0.01 , 0.00
Flexion,----------
Flexion,6.82 , 12.14 , -0.53 , -3.24 , -0.26 , 0.00
Flexion,8.81 , 11.70 , 0.40 , -2.96 , -0.11 , 0.00
Flexion,9.96 , 11.54 , 0.95 , -2.87 , -0.06 , 0.00
Flexion,10.40 , 11.23 , 0.54 , -2.71 , 0.44 , 0.00
Flexion,11.20 , 10.93 , 0.28 , -2.77 , 0.36 , 0.00
Flexion,12.16 , 11.00 , 0.66 , -2.51 , 0.73 , 0.00
Flexion,12.13 , 10.71 , 0.69 , -2.45 , 1.04 , 0.00
Flexion,12.90 , 11.03 , 0.15 , -2.63 , 1.19 , 0.00
Flexion,12.88 , 11.49 , 0.51 , -2.64 , 0.62 , 0.00
Flexion,-4.09 , 16.50 , -15.71 , -3.25 , 2.58 , 0.00
Flexion,-20.76 , 13.81 , -3.34 , -3.13 , 2.99 , 0.00
Flexion,-30.21 , 12.36 , 7.26 , -3.98 , 3.19 , 0.00
Flexion,-24.74 , 11.97 , 10.89 , -3.46 , 2.24 , 0.00
Flexion,-13.52 , 10.81 , 6.91 , -3.45 , 1.91 , 0.00
Flexion,-4.64 , 10.84 , -0.57 , -3.49 , 0.88 , 0.00
Flexion,1.33 , 10.52 , -0.32 , -3.26 , 0.73 , 0.00
Flexion,5.76 , 10.55 , -0.37 , -2.97 , 0.58 , 0.00
Flexion,----------
Flexion,8.13 , 10.60 , 1.05 , -2.65 , 0.86 , 0.00
Flexion,9.78 , 10.70 , 0.25 , -2.87 , 0.79 , 0.00
Flexion,11.20 , 10.84 , 0.09 , -2.99 , 0.57 , 0.00
Flexion,11.96 , 10.75 , 0.10 , -3.18 , 0.48 , 0.00
Flexion,12.27 , 10.75 , 0.37 , -3.19 , 0.28 , 0.00
Flexion,12.72 , 11.28 , 0.42 , -2.99 , 0.27 , 0.00
Flexion,12.60 , 11.35 , 0.49 , -2.90 , 0.22 , 0.00
Flexion,12.89 , 11.43 , 1.04 , -2.93 , -0.00 , 0.00
Flexion,16.47 , 10.82 , -1.77 , -2.53 , 0.57 , 0.00
Flexion,-2.75 , 10.66 , -14.45 , -3.90 , -1.80 , 0.00
Flexion,-20.15 , 10.90 , 0.56 , -4.20 , -1.17 , 0.00
Flexion,-25.68 , 12.10 , 11.01 , -4.32 , -0.67 , 0.00
Flexion,-18.50 , 10.74 , 10.58 , -3.79 , 0.09 , 0.00
Flexion,-7.87 , 11.41 , 5.17 , -3.37 , -0.52 , 0.00
Flexion,-0.03 , 11.84 , -0.54 , -3.06 , -0.97 , 0.00
Flexion,4.49 , 12.12 , 0.14 , -2.80 , -0.81 , 0.00
Flexion,7.82 , 12.70 , 0.35 , -2.67 , -1.41 , 0.00
Flexion,----------
Flexion,9.28 , 12.83 , 0.65 , -2.20 , -1.43 , 0.00
