Fecha;Hora;ax;ay;az;gx;gy;gz;;
8/2/2019;0,65;3964;3484;-17748;-260;-684;270;;
8/2/2019;0,65;4156;3456;-17756;-150;-644;184;;
8/2/2019;0,65;4040;3204;-17776;71;78;-237;;
8/2/2019;0,65;4160;2952;-17852;263;-103;-455;;
8/2/2019;0,65;3764;3400;-17504;307;-473;-308;;
8/2/2019;0,65;-288;4024;-16232;-3335;-9757;9037;;
8/2/2019;0,65;1892;12208;-20496;-19797;10735;32767;;
8/2/2019;0,65;4412;6124;-16924;-2131;3400;7806;;
8/2/2019;0,65;6804;4732;-16976;8011;8062;-10816;;
8/2/2019;0,65;2348;2988;-18700;16315;6950;-23390;;
8/2/2019;0,65;2712;2564;-18320;2660;-2296;-7810;;
8/2/2019;0,65;2848;1608;-18172;2397;-211;-2630;;
8/2/2019;0,65;2964;1636;-18612;-1720;-1077;-245;;
8/2/2019;0,65;3228;1324;-18652;-100;2048;86;;
8/2/2019;0,65;3400;2264;-18224;-203;59;-216;;
8/2/2019;0,65;3728;1664;-17960;-270;528;-498;;
8/2/2019;0,65;3348;1808;-18264;11;-152;-805;;
8/2/2019;0,65;3408;1916;-18508;283;-354;-891;;
8/2/2019;0,65;2888;1624;-18192;-236;-993;399;;
8/2/2019;0,65;3284;1920;-18360;277;-933;-333;;
8/2/2019;0,65;3264;1556;-18232;417;329;-1144;;
8/2/2019;0,65;3152;1692;-18180;14;-194;-786;;
8/2/2019;0,65;3268;1592;-18884;-52;158;195;;
8/2/2019;0,65;2624;1192;-18172;480;-1248;2535;;
8/2/2019;0,65;2356;1960;-18520;-3339;-10106;3837;;
8/2/2019;0,65;1144;1448;-19024;-913;-3349;13791;;
8/2/2019;0,65;64;4420;-19820;-7876;-4803;17582;;
8/2/2019;0,65;-256;3216;-16472;-8799;-2375;10680;;
8/2/2019;0,65;3232;4660;-18468;-2203;-1812;5001;;
8/2/2019;0,65;3124;5076;-18264;65;-720;-428;;
8/2/2019;0,65;2500;6032;-18444;-120;210;-931;;
8/2/2019;0,65;3104;5340;-16636;159;3936;-5164;;
8/2/2019;0,65;1220;4604;-16516;1495;6372;-6994;;
8/2/2019;0,65;664;5116;-16992;2487;11801;-6222;;
8/2/2019;0,65;2464;5044;-16940;1815;4852;-9095;;
8/2/2019;0,65;3652;5768;-17700;3212;-594;-6292;;
8/2/2019;0,65;4120;4704;-18044;6699;473;-3977;;
8/2/2019;0,65;5056;3272;-17960;7774;1132;-3441;;
8/2/2019;0,65;4224;2112;-18164;-562;-1187;-1638;;
8/2/2019;0,65;4732;2484;-18392;-975;616;-897;;
8/2/2019;0,65;4788;3104;-17744;343;1204;-1277;;
8/2/2019;0,65;4976;2168;-17544;-782;367;-1010;;
8/2/2019;0,65;5068;2372;-17636;413;-719;78;;
8/2/2019;0,65;3684;2680;-17612;-800;-2942;2733;;
8/2/2019;0,65;3740;1956;-17256;3223;-5721;11736;;
8/2/2019;0,65;2920;480;-18664;-2452;-7025;15046;;
8/2/2019;0,65;-28;3756;-19356;-14600;-3151;14087;;
8/2/2019;0,65;2128;3744;-18040;-4322;-1772;3964;;
8/2/2019;0,65;1620;4184;-17872;-1068;197;1565;;
8/2/2019;0,65;2128;4408;-17296;-18;4588;-2785;;
8/2/2019;0,65;2184;3376;-16796;3654;3968;-7431;;
8/2/2019;0,65;2680;3828;-17760;6165;1428;-4422;;
8/2/2019;0,65;3960;3620;-18856;2379;5400;-7715;;
8/2/2019;0,65;4084;2424;-18536;2521;5526;-8659;;
8/2/2019;0,65;4572;2224;-17904;2505;3103;-8006;;
8/2/2019;0,65;4684;2776;-17772;599;-843;-1784;;
8/2/2019;0,65;4840;1968;-17592;-407;-896;-1510;;
8/2/2019;0,65;4536;2644;-17892;-444;130;-1915;;
8/2/2019;0,65;4436;3184;-17464;-30;599;-2334;;
8/2/2019;0,65;4032;3048;-17504;-744;-3850;3151;;
8/2/2019;0,65;3488;1880;-17396;-1679;-9129;9423;;
8/2/2019;0,65;1148;2420;-19224;-5634;-16949;19715;;
8/2/2019;0,65;-36;4276;-17704;-7504;-6998;11670;;
8/2/2019;0,65;3932;4228;-17316;-3294;-342;2946;;
8/2/2019;0,65;4148;4956;-17660;-1110;3577;-3382;;
8/2/2019;0,65;3188;5004;-17556;2395;7297;-6155;;
8/2/2019;0,65;1780;4060;-16600;5265;9048;-7844;;
8/2/2019;0,65;3336;4684;-17608;2447;7789;-6182;;
8/2/2019;0,65;5220;4004;-17984;3152;8348;-8310;;
8/2/2019;0,65;5920;3692;-17916;1731;6359;-7966;;
8/2/2019;0,65;4992;4524;-17660;1906;-988;-3761;;
8/2/2019;0,65;4064;4192;-16576;-310;-945;-1342;;
8/2/2019;0,65;4844;4444;-17532;96;883;-130;;
8/2/2019;0,65;4164;3968;-17316;441;-1639;1801;;
8/2/2019;0,65;1728;2512;-17864;-1459;-11480;15570;;
8/2/2019;0,65;252;5004;-18176;-6376;-7091;23287;;
8/2/2019;0,65;4032;5816;-18300;-11931;-6093;4470;;
8/2/2019;0,65;2328;6680;-17432;-1158;3290;651;;
8/2/2019;0,65;2312;6784;-16168;983;3394;-3332;;
8/2/2019;0,65;3668;5640;-16332;8900;9402;-9750;;
8/2/2019;0,65;5428;4320;-18296;16892;13049;-12030;;
8/2/2019;0,65;4616;2924;-18388;932;69;-9067;;
8/2/2019;0,65;4172;3548;-17896;-3169;-1675;-1319;;
8/2/2019;0,65;3564;4872;-17668;-3444;-3126;514;;
8/2/2019;0,65;3952;4004;-17272;9;-4295;-539;;
8/2/2019;0,65;2760;4148;-17556;-383;696;515;;
8/2/2019;0,65;4000;4528;-17188;1464;1637;-1621;;
8/2/2019;0,65;3964;4040;-17896;1339;3483;-36;;
8/2/2019;0,65;4260;4276;-17600;850;-715;-560;;
8/2/2019;0,65;4212;4224;-17832;-195;-2391;-351;;
8/2/2019;0,65;3856;4048;-17132;-611;-884;488;;
8/2/2019;0,65;4008;3756;-18204;194;-275;320;;
8/2/2019;0,65;3140;4036;-17940;861;-414;-56;;
8/2/2019;0,65;3028;3388;-17712;980;-35;-199;;
